путь,категории_ПДн,количество_находок,УЗ,формат_файла
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/%D0%92%D1%81%D0%B5%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D0%B8%D1%81%D1%8C_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85.pdf,ФИО:13,13,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/AC_11082025.pdf,Дата рождения:392,392,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Life%20safety.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/isk_int.pdf,ФИО:2; Дата рождения:3; Здоровье:1,6,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Сведения о доходах проректоров директоров филиалов и зам главного бухгалтера ФГАОУ ВО ЮФУ 2021.xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Otchet_2014_rus.pdf,Дата рождения:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П73-ОД_37.05.02_Психология служ деят.pdf,Здоровье:1,1,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample_Scientific%20research%20design%20of%20urban%20environment.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/3 сентября EduNet.pdf,ФИО:6; Телефон:1; Email:2; Дата рождения:1; Адрес:1; Здоровье:1,12,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/rasp722-p_20140430.pdf,ФИО:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/522.pdf,ФИО:7; Email:1,8,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/110401_М_3_17062021.pdf,Дата рождения:25,25,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Приказ ЮФУ от 07.02.2022  N 24-ОД.pdf,Дата рождения:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/105_order_Spanish_courses.pdf,ФИО:10; Телефон:4; Email:4,18,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ingak_description.pdf,ФИО:1; Email:1; Дата рождения:2; Адрес:1,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/8. Индексация Расп РФ.pdf,Религия/политика:3,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_m_2015.xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Выписка из реестра ГА 06.05.01 06.05.02.pdf,Дата рождения:3; Адрес:1; ИНН:1,5,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П216-ОД.pdf,Email:2; Религия/политика:5,7,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П2274 АБИМ.pdf,Дата рождения:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/РУКОВОДСТВО_ПО_БРЕНДИНГУ_2025.pdf,Телефон:4; Email:5,9,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_1338-%D0%A0%20%D0%9A%D1%80%20%D1%81%D1%82%D0%BE%D0%BB%20%D0%94%D0%9D%D0%9A.pdf,ФИО:9,9,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ist_soc_rab.pdf,ФИО:3; Адрес:2,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/FCP_competitions-notice.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F%D0%90%D0%9C%D0%AF%D0%A2%D0%9A%D0%90%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%B7%D0%B6%D0%B0%D1%8E%D1%89%D0%B8%D1%85%202025.pdf,Телефон:4; Email:4; Дата рождения:2; Адрес:10,20,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/11.07.2023%20%20%D0%9F229-%D0%9E%D0%94%20%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%82%D0%BE%D1%87%D0%BA%D0%B5%20%D0%BA%D0%B8%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Business%20in%20Tourism%20and%20Hospitality.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/24.11.2020 - форма согласия соискателя.docx,Дата рождения:2; Адрес:1,3,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Sootv_asp_2025.pdf,ФИО:5; Дата рождения:1; Религия/политика:10,16,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Azov_conf-requirements.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Otchet_nauka_2016.pdf,ФИО:51; Дата рождения:40; Адрес:12,103,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/gender_equality_plan.pdf,Дата рождения:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/chislen0603.pdf,Телефон:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.9.6_sp.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Freedom%20of%20Speech%20and%20Academic%20Freedom%20Code%20of%20Practice%20-%20v3.4.pdf,Email:7,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/49PSMN519.pdf,ФИО:1; Email:19; ИНН:1,21,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Protokol_prez_N2.pdf,ФИО:82; Телефон:1; Email:1; Адрес:3,87,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F%D0%A0%D0%9E%D0%93%D0%A0%D0%90%D0%9C%D0%9C%D0%90%20%D0%9C%D0%9D%D0%9F%D0%9A%20.pdf,ФИО:181; Телефон:1; Email:1; Адрес:2; Здоровье:3,188,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Anexos_stud_conf_2021_ru.doc,ФИО:1,1,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/President_Grants-2018-info.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/патентов и ПЭВМ - ЮФУ.pdf,ФИО:1031; Дата рождения:599; ИНН:43; Здоровье:3; Расовая/национальная принадлежность:2,1678,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/teor_osn.pdf,ФИО:6; Адрес:1,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/9ld9ylp04noekda30doh1pe1qjxt7md9.pdf,Дата рождения:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Protokol_6_06.09.2023.pdf,ФИО:77; Телефон:2; Email:2; Адрес:1; Расовая/национальная принадлежность:1,83,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pfhd_2023_01.pdf,Телефон:1; Дата рождения:2; ИНН:1,4,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/IVD_2__1_Gorgorova.pdf_0704d8bae0.pdf,ФИО:3; Дата рождения:2,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%9F%D0%94%20%D0%B8%20%D0%9A%D0%9F%2015.02.10%20(2).pdf,ФИО:6; Дата рождения:26; Религия/политика:1,33,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/mash_ob.pdf,ФИО:1; Дата рождения:3; Адрес:1,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Документы партнеров/capsula_neo_instruction.pdf,ФИО:2; Телефон:1; Адрес:1,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Application-Offer-Form.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1%D0%9F211-%D1%80%20%20%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F%20%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D0%B2_0.pdf,Email:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/stranoved.pdf,Адрес:1; Религия/политика:2,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/37.04.01.pdf,ФИО:1; Адрес:1; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/obrab_inf.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/d1e7a0684a9e51c599fb223264e96189.pdf,ФИО:4; Email:1; Дата рождения:2; Адрес:2,9,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/54.04.02.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F1631_%D0%9E%D0%9F%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%20%D0%B2%D0%BE%D1%81%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F.pdf,Дата рождения:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/obsh.pdf,Дата рождения:1; Религия/политика:13,14,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П1438.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/bezop_komp.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/aerospace_engg_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/formulario_inscripcion_dele_2022.pdf,Email:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/VSOCH_2025.pdf,ФИО:146; Здоровье:3; Расовая/национальная принадлежность:8,157,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Инструкция по работе с информационными ресурсами.doc,ФИО:1; Email:1; Дата рождения:26,28,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/AI-SANA_2603.pdf,ФИО:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/E_brochure_08022024.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_u_2017.xls,ФИО:1,1,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ukaz Prezidenta 478_16.08.21.pdf,ФИО:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/17437679069420.pdf,Адрес:8,8,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prikaz-1928_Application2-IC_codes.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/02.04.02_rob.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/BSc_MSc_Basic_Science_brochure_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_r_2015.xls,ФИО:3,3,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0502%20%D0%A4%D1%80%D0%BE%D0%BD%D1%82%D0%B8%D1%80%D1%8B%20%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D1%80%D1%8B.pdf,ФИО:23; Дата рождения:1,24,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ist_isk.pdf,ФИО:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/47.04.01.pdf,ФИО:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/216e9fc932f0a2027c207d9b1bb2e0cd.pdf,Адрес:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/fk.pdf,ФИО:8; Дата рождения:5,13,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_r_2012-2014.docx,ФИО:15,15,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/pravila_priema_v_bakalavriat_spetsialitet_bazov_vo_magistraturu_spets_vo_na_2025-26.pdf,ФИО:17; Дата рождения:10,27,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.10.1.pdf,ФИО:2; Дата рождения:1; Адрес:1,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Horario_Aula_Hispanica_octubre-diciembre_2020.doc,Email:2,2,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Rasporiagenie-1092-p_report-form.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/40_04_01_program_mag_2025.pdf,Дата рождения:4; Адрес:3; Религия/политика:1,8,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/samoobsled_2024.pdf,ФИО:12; Телефон:1; Дата рождения:4; СНИЛС:1,18,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0545_0.pdf,Адрес:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/49.04.03.pdf,Адрес:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_f_v_2014.doc,ФИО:1; Дата рождения:1,2,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Otchet_2012.pdf,ФИО:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/emir-frandt-request-for-proposal.pdf,Email:3,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/confl25.pdf,ФИО:2; Телефон:2; Email:2; Адрес:1,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_gb_2015.xls,ФИО:2,2,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%90%D0%BD%D0%BD%D0%BE%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%90%D0%9F%D0%A6%D0%9F%D0%B8%D0%A6%D0%AD.pdf,Email:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/HiTech_Vitoshko.pdf,Телефон:2; Email:1,3,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Приказ ФСТЭК России от 30.10.2018 N 193.docx,Дата рождения:16,16,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/polozhenie_o_thesis_2024.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/International%20transport%20law.pdf,Email:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/766.pdf,Дата рождения:18,18,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20sample_Urban%20development.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ПП_2025_19.01.2025_итог.pdf,ФИО:26; Телефон:16; Email:3; Дата рождения:4; Адрес:4,53,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2.2.16.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.7.8.pdf,ФИО:1; Дата рождения:1; Религия/политика:7,9,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Molecular_spectrostroscopy.pdf,Email:1; Дата рождения:1,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Р688.pdf,ФИО:1; Email:1; Дата рождения:16; Адрес:3; ИНН:1; Банковский счёт:1,23,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Azov_conf-application.rtf,Email:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D1%91%D1%82%20%D0%A2%D0%9A%20%D0%AE%D0%A4%D0%A3.pdf,ФИО:55; Дата рождения:6,61,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Ukaz Prezidenta 364_15.06.15.rtf,ФИО:1,1,4,rtf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%9C%D0%B5%D1%80%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D1%8F_%D0%9D%D0%90%D0%9C_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_2022.pdf,Дата рождения:21,21,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_n_2017.xls,ФИО:1,1,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Согласие участника конкурса.docx,Дата рождения:2; Адрес:1,3,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/P201-OD.pdf,Дата рождения:14,14,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/APS.docx,Email:1,1,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ry_ino.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/PP%20BSM%202025.pdf,ФИО:21; Дата рождения:16; Адрес:1; Расовая/национальная принадлежность:2,40,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/ece_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Prot1_17.10.2024.pdf,ФИО:1; Дата рождения:13; СНИЛС:206,220,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Highlights 18.pdf,Email:16,16,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Индивидуальный план работы аспиранта для набора 2022 г. (5).docx,ФИО:3,3,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%90%D1%80%D1%82%D0%B5%D0%BC%20%D0%A8%D0%B0%D0%B4%D1%80%D0%B8%D0%BD.pdf,ФИО:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/IDP.pdf,Дата рождения:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П1149_21.05.2025.pdf,Дата рождения:23; Адрес:6; ИНН:6; Банковский счёт:18,53,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/П47-ОД_10.03.2023.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Integrated Marine Research Center.pdf,Телефон:2; Email:2,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Progress%20report%20on%20the%20implementation%20of%20the%20Excellence%20Initiative%20-%20Research%20University%20by%20TUL.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/DSU_City_innovation_Campus_Programs_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Planes2016_rus.pdf,ФИО:9,9,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/osn_geo_obr.pdf,Религия/политика:2,2,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/24.11.2020 - форма заявления на участие в конкурсе.docx,Email:1,1,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/bpharma_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/5.2.3.pdf,Дата рождения:2; Религия/политика:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_gb_2017.xls,ФИО:1,1,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/38.04.01.pdf,Религия/политика:1,1,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Pravila_priema_2025_na_sait.pdf,ФИО:4,4,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,Дата рождения:1; Адрес:1,2,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%91%D1%83%D1%85%D0%B3%D0%B0%D0%BB%D1%82%D0%B5%D1%80.pdf,Адрес:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/HA17_02.tif,Дата рождения:1,1,4,tif
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_o_d_u_2015.xls,ФИО:3,3,4,xls
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/FK_sport.pdf,Адрес:2; Здоровье:1,3,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Aula_Hispánica_vesna_2018_rus.doc,ФИО:1; Email:2,3,4,doc
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/sved_dohod_2023.pdf,ФИО:11; Телефон:1; Email:1; Дата рождения:1; ИНН:1,15,3,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Договор.docx,ФИО:1; Дата рождения:1; Адрес:1; ИНН:1; Банковский счёт:1,5,2,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Folleto_cursos_ruso1.pdf,Email:5,5,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20(Model-analytical%20and%20Strategic%20Research%20Methods).pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20Sociology%20of%20the%20Internet.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_95-%D1%80%20%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B6%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B9.pdf,ФИО:6; Адрес:1,7,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/%D0%A0%D0%90%D0%A1_128-%D0%A0%20%D0%97%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D0%B5%20%D0%A8%D0%9C%D0%91%203.0.pdf,ФИО:5; Адрес:1,6,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Aula_Hispanica_plano_rus_2014-2015.pdf,ФИО:11; Адрес:8,19,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/2190-4286-12-49.pdf,Email:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/SPO.docx,ФИО:4,4,4,docx
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Course%20syllabus%20MODERN%20Computer%20Technologies%202022.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/requisites.pdf,ФИО:4; Телефон:1; Email:1; Дата рождения:1; Адрес:5; ИНН:5; Банковский счёт:5; БИК:5,27,2,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/DSU_Main_Campus_Programs_2025.pdf,Email:1,1,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/37.04.02.pdf,Религия/политика:13,13,1,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/Лицей ЮФУ_ВД_расписание_2024-2025.pdf,ФИО:2,2,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/42.pdf,ФИО:6; Email:8; Дата рождения:2,16,4,pdf
/home/termit/hackathon_dataset/ПДнDataset/share/Прочее/44.04.01_177.pdf,ФИО:1,1,4,pdf
